city,timestamp,temperature,season
New York,2010-01-01,-2.7529397907832163,winter
New York,2010-01-02,5.632030836272857,winter
New York,2010-01-03,-9.060990820285554,winter
New York,2010-01-04,6.445011157156333,winter
New York,2010-01-05,6.285830999311324,winter
New York,2010-01-06,2.876970533677181,winter
New York,2010-01-07,0.21646528285715075,winter
New York,2010-01-08,-2.7757896659744667,winter
New York,2010-01-09,3.873997167765564,winter
New York,2010-01-10,-0.5033182298634247,winter
New York,2010-01-11,-10.314084484030081,winter
New York,2010-01-12,5.172893214400717,winter
New York,2010-01-13,-1.991166683494106,winter
New York,2010-01-14,-2.114413580572568,winter
New York,2010-01-15,-1.2649349355431296,winter
New York,2010-01-16,1.7445275393090163,winter
New York,2010-01-17,3.5301045739110775,winter
New York,2010-01-18,-0.32614624947929194,winter
New York,2010-01-19,3.34520239755475,winter
New York,2010-01-20,10.755663130978805,winter
New York,2010-01-21,-2.2068493439023715,winter
New York,2010-01-22,2.672353896674387,winter
New York,2010-01-23,-3.287739342303326,winter
New York,2010-01-24,-2.1131493937999144,winter
New York,2010-01-25,-10.489900715089338,winter
New York,2010-01-26,-3.982898678414229,winter
New York,2010-01-27,4.765267355789719,winter
New York,2010-01-28,-3.3858705916303045,winter
New York,2010-01-29,0.15715344159722947,winter
New York,2010-01-30,5.952402177956973,winter
New York,2010-01-31,3.446088220882663,winter
New York,2010-02-01,3.633902967628588,winter
New York,2010-02-02,-6.129457564719071,winter
New York,2010-02-03,4.7026116915740515,winter
New York,2010-02-04,-12.306757929457477,winter
New York,2010-02-05,1.84670867990639,winter
New York,2010-02-06,2.065094840257655,winter
New York,2010-02-07,-10.647280470511902,winter
New York,2010-02-08,0.012572076268114428,winter
New York,2010-02-09,5.6868098940561165,winter
New York,2010-02-10,5.010131061248572,winter
New York,2010-02-11,0.8501799802821506,winter
New York,2010-02-12,4.361465713251296,winter
New York,2010-02-13,1.0773291962589555,winter
New York,2010-02-14,7.157277169519429,winter
New York,2010-02-15,-2.8130569703038626,winter
New York,2010-02-16,-4.391522695930122,winter
New York,2010-02-17,-5.28353020772421,winter
New York,2010-02-18,-3.232192474222364,winter
New York,2010-02-19,7.683727233134348,winter
New York,2010-02-20,3.9477554845268763,winter
New York,2010-02-21,-4.156487471033089,winter
New York,2010-02-22,2.326839759474427,winter
New York,2010-02-23,-4.880341631998746,winter
New York,2010-02-24,4.860191852874612,winter
New York,2010-02-25,9.176859782384197,winter
New York,2010-02-26,4.170596513686456,winter
New York,2010-02-27,4.642635148238172,winter
New York,2010-02-28,-6.189623634799383,winter
New York,2010-03-01,17.39828721721791,spring
New York,2010-03-02,12.621015881712479,spring
New York,2010-03-03,13.912187127724724,spring
New York,2010-03-04,7.803331007436913,spring
New York,2010-03-05,8.087106883332428,spring
New York,2010-03-06,6.943796871771324,spring
New York,2010-03-07,7.891273219552602,spring
New York,2010-03-08,14.981914646199874,spring
New York,2010-03-09,7.4454711879600985,spring
New York,2010-03-10,6.401883744249034,spring
New York,2010-03-11,0.8794089385920483,spring
New York,2010-03-12,14.680682254676734,spring
New York,2010-03-13,15.645885064691967,spring
New York,2010-03-14,17.962835089497304,spring
New York,2010-03-15,11.32873717395977,spring
New York,2010-03-16,11.95767035575989,spring
New York,2010-03-17,12.848209951858383,spring
New York,2010-03-18,9.338482110100395,spring
New York,2010-03-19,8.487489701133814,spring
New York,2010-03-20,9.594206675383724,spring
New York,2010-03-21,4.04435346527266,spring
New York,2010-03-22,10.679758336718685,spring
New York,2010-03-23,4.704323127147809,spring
New York,2010-03-24,13.918172041079828,spring
New York,2010-03-25,21.30189175275418,spring
